Country,Region,AltitudeAvg,Year,Owner,Species,Variety,ProcessingMethod,NumberOfBags,BagWeight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Moisture,TotalScore,Color,QualityCategory
United States,kona,0,2010,kona pacific farmers cooperative,Arabica,Unknown,Unknown,25,45.3592,8.25,8.42,8.08,7.75,7.67,7.83,10,10,0,86.25,Unknown,HIGH
Brazil,sul de minas - carmo de minas,12,2010,jacques pereira carneiro,Arabica,Yellow Bourbon,Unknown,300,60,8.17,7.92,7.92,7.75,8.33,8,10,10,0.08,86.17,Unknown,HIGH
Brazil,sul de minas - carmo de minas,12,2010,jacques pereira carneiro,Arabica,Yellow Bourbon,Unknown,300,60,8.42,7.92,8,7.75,7.92,8,10,10,0.01,86.17,Unknown,HIGH
Ethiopia,sidamo,0,2010,ethiopia commodity exchange,Arabica,Unknown,Unknown,360,6,7.67,8,7.83,8,7.92,7.83,10,10,0,85.08,Unknown,HIGH
Ethiopia,sidamo,0,2010,ethiopia commodity exchange,Arabica,Unknown,Unknown,300,6,7.58,7.83,7.58,8,7.83,7.5,10,10,0.1,83.83,Unknown,MODERATE
United States,kona,0,2010,kona pacific farmers cooperative,Arabica,Unknown,Unknown,12,60,7.5,7.92,7.42,7.67,7.83,7.58,10,10,0.01,83.42,Unknown,MODERATE
Indonesia,dolok sanggul,1350,2010,specialty coffee association of indonesia,Arabica,Unknown,Unknown,10,60,7.67,7.58,7.5,7.58,7.67,7.58,10,10,0,83.08,Unknown,MODERATE
Ethiopia,kelem welega,0,2010,ethiopia commodity exchange,Arabica,Unknown,Unknown,360,6,7.25,7.25,7.25,7.33,7.5,8,9.33,10,0.1,80.33,Unknown,MODERATE
Ethiopia,limu,0,2010,ethiopia commodity exchange,Arabica,Unknown,Unknown,300,6,7.42,7.42,7.5,7.92,7.75,7.58,8.67,8.67,0.05,80,Unknown,MODERATE
Haiti,marmelade,1020,2010,myriam kaplan-pasternak,Arabica,Unknown,Unknown,85,58.96696,6.92,6.75,7.08,7.17,7.33,6.67,10,8.67,0.08,72.33,Unknown,LOW
Brazil,south of minas,1250,2011,nucoffee,Arabica,Bourbon,Natural / Dry,3,60,8.5,8.5,8,8,8,8,10,10,0.12,86.92,Green,HIGH
Brazil,vale da grama,1300,2011,nucoffee,Arabica,Bourbon,Natural / Dry,29,60,8.5,8.17,8,7.75,8,8,10,10,0.12,86.42,Green,HIGH
Brazil,south of minas,1250,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,7,60,8.33,8,8,8,7.75,8,10,10,0.11,86.08,Blue-Green,HIGH
Brazil,south of minas,1250,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,5,60,8,8,8,7.67,7.75,8,10,10,0.11,85.42,Blue-Green,HIGH
Brazil,south of minas,1200,2011,nucoffee,Arabica,Bourbon,Natural / Dry,4,60,8,7.92,7.75,7.75,8,7.75,10,10,0.11,84.92,Green,MODERATE
Brazil,south of minas,1000,2011,nucoffee,Arabica,Catuai,Natural / Dry,10,60,8,8,7.75,8,7.5,7.75,10,10,0.12,84.92,Green,MODERATE
Brazil,vale da grama,1300,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,37,60,8,8,7.75,7.75,7.58,7.75,10,10,0.12,84.58,Green,MODERATE
Brazil,mountains of minas gerais,1100,2011,nucoffee,Arabica,Catuai,Semi-washed / Semi-pulped,35,60,8.5,8,7.5,7.75,7.5,7.83,10,10,0.11,84.58,Blue-Green,MODERATE
Brazil,vale da grama,1275,2011,nucoffee,Arabica,Yellow Bourbon,Unknown,75,60,8.17,8,7.5,7.75,7.5,7.67,10,10,0,84.33,Unknown,MODERATE
Brazil,south of minas,1050,2011,nucoffee,Arabica,Unknown,Unknown,80,60,8,8,7.5,7.5,7.67,7.75,10,10,0.02,84.33,Unknown,MODERATE
Thailand,Unknown,0,2011,doi tung development project,Arabica,Unknown,Unknown,1,60,7.58,7.75,7.58,7.75,7.58,7.75,10,10,0.06,84,Unknown,MODERATE
Thailand,"doi chaang village, chiang rai, thialand",1499,2011,doi chaang coffee company,Arabica,Unknown,Unknown,175,50,7.75,7.75,7.58,8,7.67,7.58,10,10,0.02,83.83,Unknown,MODERATE
Thailand,Unknown,0,2011,doi tung development project,Arabica,Unknown,Unknown,1,60,7.5,7.83,7.58,7.58,7.75,7.83,10,10,0.01,83.83,Unknown,MODERATE
Brazil,south of minas,1000,2011,nucoffee,Arabica,Mundo Novo,Semi-washed / Semi-pulped,25,60,7.75,7.5,7.58,7.5,7.75,7.5,10,10,0.12,83.17,Blue-Green,MODERATE
Brazil,south of minas,900,2011,nucoffee,Arabica,Unknown,Unknown,90,60,7.58,7.75,7.67,7.5,7.67,7.58,10,10,0.02,83.17,Unknown,MODERATE
Colombia,la plata,1775,2011,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,121,1,7.67,7.67,7.58,7.5,7.67,7.42,10,10,0.12,83,Bluish-Green,MODERATE
Thailand,Unknown,0,2011,doi tung development project,Arabica,Unknown,Unknown,1,60,7.33,7.67,7.58,7.5,7.75,7.67,10,10,0.28,83,Unknown,MODERATE
Brazil,south of minas,975,2011,nucoffee,Arabica,Mundo Novo,Unknown,42,60,7.58,7.5,7.33,7.75,7.5,7.5,10,10,0,82.58,Unknown,MODERATE
Colombia,huila,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.33,7.58,7.17,7.58,7.42,7.58,10,10,0,82.42,Green,MODERATE
Brazil,cerrado,925,2011,nucoffee,Arabica,Mundo Novo,Unknown,58,60,7.33,7.67,7.25,7.5,7.5,7.25,10,10,0.02,81.83,Unknown,MODERATE
Colombia,huila,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.33,7.42,7.33,7.33,7.5,7.67,10,10,0,81.75,Green,MODERATE
Thailand,"doi chaang village, chiang rai, thialand",1499,2011,doi chaang coffee company,Arabica,Unknown,Unknown,12,50,7.08,7.33,7.58,7.58,7.17,7.5,10,10,0.01,81.58,Unknown,MODERATE
Thailand,Unknown,0,2011,doi tung development project,Arabica,Unknown,Unknown,1,60,7.33,7.33,7.17,7.5,7.58,7.33,10,10,0.2,81.58,Unknown,MODERATE
Colombia,huila,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Natural / Dry,250,70,7.5,7.42,7.25,7.17,7.17,7.75,10,10,0.11,81.42,Green,MODERATE
United States,kona,0,2011,kona pacific farmers cooperative,Arabica,Arusha,Natural / Dry,3,0.907184,7.08,7.33,7.17,7.25,7.33,7.67,10,10,0.13,80.75,Bluish-Green,MODERATE
Indonesia,indonesia,3500,2011,william ho,Arabica,Other,Natural / Dry,15,2,7.33,7,6.5,6.08,7.58,6.33,9.33,9.33,0.12,76.17,None,LOW
Peru,Unknown,0,2012,hugo valdivia,Arabica,Other,Washed / Wet,100,69,8.42,8.5,8.33,8.5,8.25,8.25,10,10,0.11,88.75,Bluish-Green,HIGH
Mexico,xalapa,1320,2012,roberto licona franco,Arabica,Other,Washed / Wet,14,1,8.17,8.25,8.17,8,7.83,8.17,10,10,0.13,87.17,Green,HIGH
"Tanzania, United Republic Of",Unknown,0,2012,specialty coffee-korea,Arabica,Unknown,Natural / Dry,100,60,8.42,8.17,8.17,8,7.58,8,10,10,0.11,86.5,Bluish-Green,HIGH
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,10,45.3592,8.08,8.17,8,7.92,7.92,7.83,10,10,0,86.25,Unknown,HIGH
Thailand,chiang rai,1300,2012,itdp international,Arabica,Caturra,Washed / Wet,53,1,7.83,8.33,7.83,8.25,7.58,7.92,10,10,0.1,86.17,Green,HIGH
Uganda,"sipi, mt elgon",1650,2012,afca,Arabica,Other,Washed / Wet,1,60,8.25,8,7.83,8.08,8,7.92,10,10,0.1,86,Blue-Green,HIGH
Guatemala,acatenango,1524,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,150,1,7.83,8,8,8.17,7.83,8,10,10,0.12,85.83,Green,HIGH
Guatemala,nuevo oriente,1417,2012,juan luis alvarado romero,Arabica,Catuai,Washed / Wet,275,1,8,8,7.83,8.33,7.83,7.83,10,10,0.1,85.83,Bluish-Green,HIGH
Papua New Guinea,eastern highlands province,1700,2012,"colbran coffeelands, ltd.",Arabica,Unknown,Washed / Wet,7,60,8.33,8.42,7.83,8.33,8,8.25,9.33,10,0.12,85.75,Bluish-Green,HIGH
El Salvador,"ataco, apaneca - ilamatepec mountain range",1350,2012,lusso lab,Arabica,Bourbon,Semi-washed / Semi-pulped,19,1,7.83,8,8,7.75,7.92,8.17,10,10,0.11,85.58,None,HIGH
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,8,45.3592,7.83,8,7.92,7.75,8.08,8,10,10,0,85.58,Unknown,HIGH
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,8,45.3592,7.92,7.92,7.75,7.92,7.75,7.92,10,10,0,85.42,Unknown,HIGH
Kenya,central kenya,1600,2012,rashid moledina & co. (msa) ltd.,Arabica,SL34,Washed / Wet,20,60,7.83,8.08,7.75,8.08,7.92,7.75,10,10,0,85.33,Green,HIGH
Kenya,central kenya,1200,2012,ibero kenya limited,Arabica,SL34,Washed / Wet,300,60,8,7.92,7.92,8.08,7.83,7.75,10,10,0,85.33,Green,HIGH
Indonesia,lintong,1325,2012,"nomura trading co., ltd.",Arabica,Sumatra Lintong,Semi-washed / Semi-pulped,54,60,7.75,7.83,7.67,8,8.08,7.83,10,10,0.11,85.17,Green,HIGH
Guatemala,huehuetenango,1400,2012,the coffee source inc.,Arabica,Caturra,Washed / Wet,250,1,8.25,8,7.67,7.92,7.75,7.67,10,10,0,85.17,Unknown,HIGH
Colombia,cundinamarca,2136,2012,carcafe ltda ci,Arabica,Caturra,Natural / Dry,250,70,7.83,8,7.75,7.75,7.83,7.83,10,10,0.11,85.08,Green,HIGH
Kenya,central kenya,1580,2012,rashid moledina & co. (msa) ltd.,Arabica,SL34,Washed / Wet,38,60,7.75,7.83,7.75,8.08,8,7.75,10,10,0,85,Green,HIGH
Brazil,grama valley,1100,2012,nucoffee,Arabica,Mundo Novo,Natural / Dry,31,60,8,8,7.83,7.83,7.67,7.67,10,10,0.12,85,Green,HIGH
Colombia,huila,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,50,70,7.75,7.92,7.83,7.75,7.75,8,10,10,0.11,84.92,Green,MODERATE
Mexico,coatepec,1200,2012,artemio zapata tejeda,Arabica,Typica,Semi-washed / Semi-pulped,25,1,7.75,8,7.75,7.83,7.5,7.92,10,10,0.11,84.92,Unknown,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,14,45.3592,7.67,7.75,7.75,7.75,7.83,8,10,10,0,84.83,Unknown,MODERATE
Costa Rica,Unknown,0,2012,rob tuttle,Arabica,Unknown,Washed / Wet,1,2,8.08,7.83,7.75,7.83,7.92,8,10,9.33,0,84.67,Green,MODERATE
Kenya,nyeri,2000,2012,dream together,Arabica,SL28,Washed / Wet,235,60,7.75,7.92,7.83,8,7.58,7.75,10,10,0.11,84.67,Bluish-Green,MODERATE
Guatemala,oriente,1310,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,1,8,7.83,7.67,7.83,7.67,8,10,10,0.11,84.67,Green,MODERATE
Guatemala,acatenango,1524,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,125,1,7.67,7.83,7.67,8,7.67,7.83,10,10,0.12,84.67,Green,MODERATE
Mexico,el remudadero,1200,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,80,1,7.83,7.58,7.67,7.92,7.92,7.83,10,10,0.13,84.67,Unknown,MODERATE
Uganda,mbale,1775,2012,afca,Arabica,Other,Washed / Wet,320,60,7.92,7.83,7.75,7.92,7.67,7.75,10,10,0.11,84.67,Blue-Green,MODERATE
Colombia,huila,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.67,7.83,7.83,8,7.58,7.92,10,10,0,84.58,Green,MODERATE
Costa Rica,tres rios,1575,2012,lusso lab,Arabica,Bourbon,Semi-washed / Semi-pulped,1,1,7.75,7.83,7.75,8,7.83,7.67,10,10,0.12,84.58,Bluish-Green,MODERATE
Colombia,huila,1800,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.42,7.67,7.75,7.75,8.08,7.83,10,10,0.11,84.58,Green,MODERATE
Kenya,nyeri,2000,2012,dream together,Arabica,SL28,Washed / Wet,235,60,7.92,7.83,7.67,8,7.67,7.75,10,10,0.11,84.5,Blue-Green,MODERATE
Mexico,hustusco,1350,2012,maria imelda uscanga martinez,Arabica,Typica,Washed / Wet,56,1,8,7.92,7.42,8.08,7.5,7.67,10,10,0.12,84.5,Green,MODERATE
Mexico,jaltenango,1500,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1,7.92,7.83,7.75,7.75,7.75,7.83,10,10,0.11,84.5,Unknown,MODERATE
Guatemala,"el tumbador, san marcos",0,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,250,69,7.67,8,7.67,8,7.5,7.83,10,10,0.11,84.5,Green,MODERATE
Taiwan,"mountain ali, taiwan",1200,2012,kao ming lee,Arabica,Typica,Washed / Wet,2,2,7.83,7.83,7.75,8,7.5,7.75,10,10,0.11,84.42,Blue-Green,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,5,45.3592,7.92,7.92,7.5,7.83,7.5,7.92,10,10,0.11,84.42,Blue-Green,MODERATE
Mexico,tapachula,900,2012,maria amalia guadalupe toriello elorza,Arabica,Pacamara,Washed / Wet,69,1,7.75,7.92,7.75,7.67,7.83,7.67,10,10,0.12,84.42,Unknown,MODERATE
Mexico,tuxtla gutierrez,1700,2012,victor hugo melchor cordova,Arabica,Typica,Washed / Wet,100,80,8,7.75,7.75,7.83,7.5,7.67,10,10,0.12,84.33,Blue-Green,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,7,45.3592,7.33,7.92,7.92,7.92,7.92,8.08,10,9.33,0.11,84.25,Bluish-Green,MODERATE
Mexico,veracruz,1170,2012,manuel herrera juarez,Arabica,Bourbon,Washed / Wet,20,1,7.83,7.83,7.75,7.67,7.83,7.58,10,10,0.12,84.25,Green,MODERATE
Mexico,"la concordia, chiapas",1400,2012,alfredo bojalil,Arabica,Bourbon,Washed / Wet,250,1,7.83,7.92,7.67,7.75,7.5,7.75,10,10,0.1,84.25,Bluish-Green,MODERATE
Uganda,kasese,1700,2012,afca,Arabica,Other,Natural / Dry,1,60,8.17,7.75,7.58,7.67,7.83,7.58,10,10,0.13,84.25,Green,MODERATE
Colombia,huila,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.75,7.75,7.75,7.75,7.83,7.75,10,10,0,84.17,Green,MODERATE
Guatemala,guatemala,0,2012,juan luis alvarado romero,Arabica,Catuai,Natural / Dry,275,1,7.83,7.5,7.5,8,7.83,7.83,10,10,0.11,84.17,Bluish-Green,MODERATE
Uganda,mt. rwenzori,1600,2012,afca,Arabica,Other,Washed / Wet,320,60,7.83,7.75,7.5,7.83,7.83,7.75,10,10,0.11,84.17,Green,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,14,45.3592,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,0.11,84.08,Green,MODERATE
Mexico,santo domingo cacalotepec,1480,2012,andres martinez leon,Arabica,Typica,Washed / Wet,300,1,7.67,7.75,7.67,7.75,7.67,7.75,10,10,0.11,84.08,Green,MODERATE
Ethiopia,"ethiopia, sidamo",1800,2012,steven kil,Arabica,Other,Natural / Dry,100,60,7.92,7.92,7.83,8,7.92,7.92,10,8.67,0.09,84.08,Unknown,MODERATE
Kenya,blend,1200,2012,ibero kenya limited,Arabica,SL34,Washed / Wet,300,60,7.67,7.83,7.5,7.75,7.92,7.67,10,10,0,84,Green,MODERATE
Thailand,thailand,0,2012,doi tung development project,Arabica,Other,Washed / Wet,2,1,7.92,8.17,8.17,8.42,8.08,8.17,8.67,9.33,0.12,84,Green,MODERATE
Kenya,central kenya,1650,2012,taylor winch (coffee) ltd.,Arabica,SL28,Washed / Wet,150,9000,7.67,7.75,7.67,7.75,7.83,7.67,10,10,0,84,Bluish-Green,MODERATE
Uganda,kasese,1700,2012,afca,Arabica,Other,Washed / Wet,320,60,7.92,7.75,7.58,7.67,7.67,7.83,10,10,0.1,84,Green,MODERATE
Mexico,xicotepec de juarez,900,2012,oscar ortega carballo,Arabica,Typica,Washed / Wet,48,1,7.67,7.75,7.58,7.67,7.75,7.83,10,10,0.12,83.92,Blue-Green,MODERATE
Mexico,la concordia,1500,2012,alfredo bojalil,Arabica,Typica,Washed / Wet,250,1,7.5,7.67,7.58,7.83,7.75,7.75,10,10,0.11,83.92,Unknown,MODERATE
Mexico,la yerbabuena,1400,2012,organizaciones de productores de cafe colimense,Arabica,Typica,Washed / Wet,20,1,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,0,83.92,Green,MODERATE
Mexico,petatlan,1218,2012,filemon mendoza campos,Arabica,Bourbon,Natural / Dry,20,1,7.67,8,7.67,7.42,7.67,7.5,10,10,0.1,83.83,Green,MODERATE
