Country,Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Moisture
Brazil,2010,8.295,7.92,7.96,7.75,8.125,8,10,10,0.045
Ethiopia,2010,7.48,7.625,7.54,7.8125,7.75,7.7275,9.5,9.6675,0.0625
Haiti,2010,6.92,6.75,7.08,7.17,7.33,6.67,10,8.67,0.08
Indonesia,2010,7.67,7.58,7.5,7.58,7.67,7.58,10,10,0
United States,2010,7.875,8.17,7.75,7.71,7.75,7.705,10,10,0.005
Brazil,2011,8.017142857,7.929285714,7.684285714,7.726428571,7.690714286,7.737857143,10,10,0.078571429
Colombia,2011,7.4575,7.5225,7.3325,7.395,7.44,7.605,10,10,0.0575
Indonesia,2011,7.33,7,6.5,6.08,7.58,6.33,9.33,9.33,0.12
Thailand,2011,7.428333333,7.61,7.511666667,7.651666667,7.583333333,7.61,10,10,0.096666667
United States,2011,7.08,7.33,7.17,7.25,7.33,7.67,10,10,0.13
Brazil,2012,7.644666667,7.594,7.4,7.510666667,7.488666667,7.484,10,10,0.116666667
Burundi,2012,7.75,7.67,7.33,7.5,7.5,7.75,10,10,0
Colombia,2012,7.637333333,7.621666667,7.576666667,7.563666667,7.646666667,7.647333333,9.933333333,9.955666667,0.081
Costa Rica,2012,7.666666667,7.693333333,7.666666667,7.943333333,7.666666667,7.833333333,10,8.666666667,0.073333333
El Salvador,2012,7.833333333,7.776666667,7.61,7.333333333,7.78,7.75,10,9.776666667,0.036666667
Ethiopia,2012,7.92,7.92,7.83,8,7.92,7.92,10,8.67,0.09
Guatemala,2012,7.508181818,7.401363636,7.221136364,7.549318182,7.473409091,7.478409091,9.727272727,9.651136364,0.094545455
Haiti,2012,7.25,7.026666667,7.17,7.14,7.33,7.14,9.776666667,8.666666667,0.123333333
Honduras,2012,7.335,7.5,7.375,7.375,7.54,7.5,10,10,0.1
India,2012,8,7.92,7.67,8,7.75,7.92,10,7.75,0
Indonesia,2012,7.89,7.556666667,7.473333333,7.636666667,7.693333333,7.61,10,10,0.116666667
Kenya,2012,7.798571429,7.88,7.727142857,7.962857143,7.821428571,7.727142857,10,10,0.031428571
Mexico,2012,7.457283951,7.370740741,7.227962963,7.410802469,7.378209877,7.314691358,9.756975309,9.971234568,0.119814815
Panama,2012,7.42,7.42,7.5,7.58,7.5,7.75,10,10,0
Papua New Guinea,2012,8.33,8.42,7.83,8.33,8,8.25,9.33,10,0.12
Peru,2012,8.045,7.835,7.705,7.875,8.125,7.875,9.335,9.665,0.055
Philippines,2012,6.83,6.5,6.5,6.92,6.75,7,9.33,9.33,0.12
Taiwan,2012,7.83,7.83,7.75,8,7.5,7.75,10,10,0.11
Tanzania,2012,8.045,7.835,7.75,7.625,7.58,7.875,10,10,0.11
Thailand,2012,7.648,7.584,7.632,7.768,7.582,7.634,9.734,9.732,0.068
Uganda,2012,8.018,7.816,7.648,7.834,7.8,7.766,10,10,0.11
